RUN,CAR_TYPE,HAS_PARKED,A,B,C,D,E,F,G,H,I,J,K
[0],['B'],[True],[12.956195439491323],[46.016584068518384],[50.668016672084974],[54.91338675883652],[57.55431083030993],[57.55431083030993],[104.08166431251686],[106.95380781998753],[159.5871085793871],[164.5406065376765],[197.60099516670357]
[0],['B'],[True],[0],[17.124474300134104],[17.124474300134104],[23.478785932573324],[25.91907451940662],[25.91907451940662],[197.41056171613462],[200.13348452087064],[219.68935831686437],[224.98955211341433],[242.11402641354843]
[0],['B'],[True],[80.02365041715001],[99.33047690558627],[144.97991075942565],[150.84172373862532],[153.20071823931036],[153.20071823931036],[228.20198590920228],[230.5385884776134],[230.5385884776134],[235.16410407978603],[254.4709305682223]
[0],['B'],[True],[70.92166965463048],[93.95112918553978],[140.55660823936222],[147.01440791582098],[149.52821100557333],[149.52821100557333],[244.03952674944946],[246.9616406471241],[246.9616406471241],[253.50418628818795],[276.5336458190973]
[0],['B'],[False],[176.04707161521372],[197.06990706463944],[218.53613655269817],[223.8420733471705],[227.34717405921563],[236.65403899290618],[273.1715436170924],[275.7826381420089],[275.7826381420089],[281.32177791658137],[302.3446133660071]
[0],['B'],[False],[133.7439449743295],[149.6350014127826],[211.9488391386679],[219.68935831686437],[223.07046409872206],[232.4898309014675],[330.3050854517535],[333.4258230857223],[333.4258230857223],[338.322155373981],[354.2132118124341]
[0],['B'],[True],[215.59269302050643],[229.34475286800767],[229.34475286800767],[234.01584385915757],[237.09325393744498],[237.09325393744498],[341.39977988691817],[344.6990673039649],[344.6990673039649],[350.5055281729745],[364.25758802047574]
[0],['B'],[True],[29.25129781269453],[56.026687399750955],[70.11420904655999],[75.12481316631624],[77.9344526345095],[77.9344526345095],[331.1657663743338],[334.1068385622969],[334.1068385622969],[339.0009283563485],[365.77631794340493]
[0],['B'],[False],[244.6943029493906],[260.8426749465793],[260.8426749465793],[267.7435037911157],[270.67062341088075],[279.0659524535279],[374.66243436437816],[377.82398903252357],[377.82398903252357],[382.8434820318495],[398.99185402903817]
[0],['B'],[False],[252.54108853215143],[278.05847919265796],[278.05847919265796],[284.75091059630455],[288.51392433355744],[302.93173489657494],[368.9849155930368],[371.94431463729353],[371.94431463729353],[376.7011216100635],[402.21851227057005]
[0],['B'],[True],[44.73219845315473],[70.90441870921157],[95.34057507324539],[101.34156936590072],[104.51460697507554],[104.51460697507554],[369.39094273392635],[372.341813626173],[372.341813626173],[377.0190513084499],[403.19127156450674]
[0],['B'],[False],[220.35205710347975],[254.20499605374337],[254.20499605374337],[261.06697770881095],[263.8840630017444],[277.73953966083417],[385.6861286971896],[388.66515637986737],[388.66515637986737],[394.63667983180653],[428.4896187820701]
[0],['B'],[True],[57.77810051912655],[85.26138064521982],[122.78780002170211],[130.15632179840256],[132.90962845548674],[132.90962845548674],[398.28427805086994],[401.805454841114],[401.805454841114],[406.8351874958459],[434.3184676219392]
[0],['B'],[True],[340.61418602747375],[365.78032618282833],[365.78032618282833],[370.40884846016974],[373.8231298874707],[373.8231298874707],[406.87831343740595],[410.033418548385],[410.033418548385],[414.94124513880587],[440.10738529416045]
[0],['B'],[False],[150.3355417829042],[170.13242699843238],[216.65995793056484],[221.55264530098958],[225.17315604331594],[235.1092739362834],[411.63818744656237],[414.9201675548804],[414.9201675548804],[422.28796217715217],[442.08484739268033]
[0],['B'],[False],[205.92316432282237],[232.2493750400989],[232.2493750400989],[237.5461485390154],[239.97199704353346],[251.29007685386682],[432.228153286619],[434.92112295338745],[434.92112295338745],[441.3638859420101],[467.6900966592866]
[0],['B'],[True],[203.27639361654772],[237.75044950368252],[237.75044950368252],[244.41091826090522],[247.32616739248223],[247.32616739248223],[427.6486424129764],[430.35210188452453],[430.35210188452453],[435.7191489227274],[470.1932048098622]
[0],['B'],[False],[146.404010468976],[162.79446090351522],[216.10174338211638],[222.7505085628438],[225.44432649681676],[239.165787230864],[448.6892173626391],[451.8741765830519],[451.8741765830519],[457.19627834785666],[473.5867287823959]
[0],['B'],[True],[320.3534883768291],[337.0091474610239],[337.0091474610239],[344.06863580171125],[347.85447259707865],[347.85447259707865],[457.2491016958302],[460.27277694624723],[460.27277694624723],[466.048829804274],[482.70448888846886]
[0],['B'],[True],[402.319063324552],[415.85887506252817],[415.85887506252817],[420.95754846089505],[424.6630770284437],[424.6630770284437],[491.4933803788345],[494.37183782052466],[494.37183782052466],[499.18624260677484],[512.726054344751]
[0],['B'],[False],[282.2497525835385],[309.60025541462693],[309.60025541462693],[314.2336106865212],[316.94235873296157],[329.0779588309011],[477.9360113375569],[481.28062077358567],[481.28062077358567],[486.32525727389833],[513.6757601049868]
[0],['A'],[True],[17.912803399074765],[34.96784724702097],[37.458267340508776],[42.29205814719594],[44.86514964786685],[44.86514964786685],[499.0889382184376],[501.39743768032645],[501.39743768032645],[507.313940416867],[524.3689842648132]
[0],['A'],[True],[21.92761712120211],[45.649411896788884],[48.66030181180469],[52.98635892911155],[55.72132555484627],[55.72132555484627],[494.67529189659837],[498.1011819567461],[498.1011819567461],[504.39208386623517],[528.1138786418219]
[0],['A'],[True],[55.48533926810542],[75.04920957555717],[101.63152655934641],[107.28024386763046],[110.11651307812222],[110.11651307812222],[510.3015661419581],[512.8851569542935],[512.8851569542935],[518.8152195596265],[538.3790898670783]
[0],['A'],[True],[31.887968619689246],[58.001963461509696],[71.34798433433367],[77.82107484818711],[80.78719155755103],[80.78719155755103],[506.73120734190957],[510.264674916729],[510.264674916729],[515.3543878245302],[541.4683826663507]
[0],['A'],[True],[7.6097841119440695],[29.90881673823885],[31.5705939753907],[37.458267340508776],[40.37751905367971],[40.37751905367971],[511.3090116020464],[514.9304355702835],[514.9304355702835],[520.150617445804],[542.4496500720987]
[0],['A'],[True],[16.65485126780443],[49.50860907602848],[56.81591860971938],[61.907673643262505],[64.9855789619916],[64.9855789619916],[515.7302645015809],[518.9233014615024],[518.9233014615024],[525.097897875143],[557.951655683367]
[0],['B'],[False],[247.68825874637523],[269.2644496024441],[269.2644496024441],[275.88278578099045],[278.9528241515097],[291.0997271987852],[529.1227842015219],[532.521349691797],[532.521349691797],[537.6563104068091],[559.2325012628779]
[0],['A'],[True],[0],[21.284483647587408],[21.284483647587408],[26.542228510085167],[30.126239626002],[30.126239626002],[548.133179098236],[551.3940248836071],[551.3940248836071],[556.1015682125023],[577.3860518600898]
